     DEBUG | 	sigai.student7_passphrase_1.txt -> sigai.student7_pass.txt
     DEBUG | 	sigai.student7_id_rsa_1.pub -> sigai.student7.pem.pub
     DEBUG | 	sigai.student7_id_rsa_1 -> sigai.student7.pem
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student7.pem
     DEBUG | 		writing sigai.student7.ppk
     DEBUG | 		writing sigai.student7.pem.pub
     DEBUG | 		writing sigai.student7_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student6-keys.tgz
     DEBUG | Extracted to sigai.student6-keys
     DEBUG | 	sigai.student6_id_rsa_1.ppk -> sigai.student6.ppk
     DEBUG | 	sigai.student6_passphrase_1.txt -> sigai.student6_pass.txt
     DEBUG | 	sigai.student6_id_rsa_1 -> sigai.student6.pem
     DEBUG | 	sigai.student6_id_rsa_1.pub -> sigai.student6.pem.pub
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student6.pem
     DEBUG | 		writing sigai.student6.ppk
     DEBUG | 		writing sigai.student6.pem.pub
     DEBUG | 		writing sigai.student6_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student37-keys.tgz
     DEBUG | Extracted to sigai.student37-keys
     DEBUG | 	sigai.student37_id_rsa_1.pub -> sigai.student37.pem.pub
     DEBUG | 	sigai.student37_passphrase_1.txt -> sigai.student37_pass.txt
     DEBUG | 	sigai.student37_id_rsa_1.ppk -> sigai.student37.ppk
     DEBUG | 	sigai.student37_id_rsa_1 -> sigai.student37.pem
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student37.pem
     DEBUG | 		writing sigai.student37.ppk
     DEBUG | 		writing sigai.student37.pem.pub
     DEBUG | 		writing sigai.student37_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student36-keys.tgz
     DEBUG | Extracted to sigai.student36-keys
     DEBUG | 	sigai.student36_id_rsa_1.pub -> sigai.student36.pem.pub
     DEBUG | 	sigai.student36_passphrase_1.txt -> sigai.student36_pass.txt
     DEBUG | 	sigai.student36_id_rsa_1.ppk -> sigai.student36.ppk
     DEBUG | 	sigai.student36_id_rsa_1 -> sigai.student36.pem
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student36.pem
     DEBUG | 		writing sigai.student36.ppk
     DEBUG | 		writing sigai.student36.pem.pub
     DEBUG | 		writing sigai.student36_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student40-keys.tgz
     DEBUG | Extracted to sigai.student40-keys
     DEBUG | 	sigai.student40_id_rsa_1.pub -> sigai.student40.pem.pub
     DEBUG | 	sigai.student40_id_rsa_1.ppk -> sigai.student40.ppk
     DEBUG | 	sigai.student40_id_rsa_1 -> sigai.student40.pem
     DEBUG | 	sigai.student40_passphrase_1.txt -> sigai.student40_pass.txt
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student40.pem
     DEBUG | 		writing sigai.student40.ppk
     DEBUG | 		writing sigai.student40.pem.pub
     DEBUG | 		writing sigai.student40_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student41-keys.tgz
     DEBUG | Extracted to sigai.student41-keys
     DEBUG | 	sigai.student41_id_rsa_1.pub -> sigai.student41.pem.pub
     DEBUG | 	sigai.student41_passphrase_1.txt -> sigai.student41_pass.txt
     DEBUG | 	sigai.student41_id_rsa_1.ppk -> sigai.student41.ppk
     DEBUG | 	sigai.student41_id_rsa_1 -> sigai.student41.pem
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student41.pem
     DEBUG | 		writing sigai.student41.ppk
     DEBUG | 		writing sigai.student41.pem.pub
     DEBUG | 		writing sigai.student41_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student30-keys.tgz
     DEBUG | Extracted to sigai.student30-keys
